c_msgsize_count,c_pktsize6,c_msgsize4,s_msgsize4,s_pktsize2,s_rtt_cnt,s_rtt_std,s_msgsize5,c_msgsize6,c_sit3,class
1,0,0,0,1418,0,0.0,0,0,0.0,google
1,0,0,0,0,3,0.466732,0,0,0.0,google
1,0,0,0,0,3,0.413304,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,1418,0,0.0,0,0,0.0,google
1,0,0,0,0,2,0.0,0,0,0.0,google
8,1418,42,48,1418,2,0.0,34,1555,1.327,google
8,30,42,48,1418,1,0.0,34,30,1.353,google
8,30,42,48,1418,2,0.0,34,30,2.455,google
8,1418,42,48,1418,1,0.0,34,1609,2.213,google
10,30,42,48,1418,2,0.0,34,30,2.668,google
8,1418,50,38,56,2,0.0,326,1933,1.087,google
28,111,847,30,48,3,23.955951,301,111,253.611,google
12,46,958,42,1418,5,10.137151,38,46,9.655,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,0,3,1.326429,0,0,0.0,google
2,0,0,1308,892,2,0.0,1878,0,0.0,google
1,0,0,0,0,3,74.271818,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
8,30,42,48,1418,2,0.0,34,30,2.56,google
8,30,42,34,1418,2,0.0,30,30,1.088,google
1,0,0,0,1430,1,0.0,0,0,0.0,google
8,30,42,48,1418,1,0.0,34,30,2.176,google
8,30,42,34,1418,2,0.0,30,30,1.244,google
8,30,42,48,1418,2,0.0,34,30,1.486,google
5,53,1461,933,1413,3,25.983379,0,0,13.045,google
7,635,1413,1413,1413,4,24.160504,1413,53,14.596,google
12,1418,1717,1413,1413,7,26.52424,1413,1525,14.88,google
8,30,42,34,1418,2,0.0,30,30,9.381,google
31,1418,42,48,1418,12,6.371508,34,1632,1.285,google
41,209,37,49,1418,11,11.282391,37,33,1.29,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
10,68,38,42,1430,1,0.0,38,68,95.421,google
28,46,907,42,1430,1,0.0,38,46,17.922,google
